"Name","Rating","Review","Date"
"Robert","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Bought a new Canada goose Crofton jacket from third party online it’s 100% authentic in late December 2024, worn jacket for less than a month.Discovered the large stitching around the arctic disk is loose, not tightly embroidered.Got in touch with Canada goose customer service, received instructions to send my jacket to Scottish mountain gear for inspection, CG ask me to send photos of all the labels inside the jacket for genuine or  counterfeits product. Passed with flying colours.Weeks later received reply from CG to say the stitching is within tolerance, I replied to say how on earth did this jacket passed quality control and workmanship on a luxury brand.We been battling for a month, CG kept apologising for my disappointment with their customer service, CG don’t explain why or try to resolve their manufacturing defects, CG kept on asking for my return address.Between me and my wife we have two Parka’s  and two salida waterproof coats, I have enclosed zoomed in photos of the arctic disk on the Parka’s for CG to compare the stitching against the crofton jacket.Finally this week a reply from CG saying the arctic disk on the crofton jacket is within tolerance again, CG suggesting I caused the defects and will not take any responsibility on their poor workmanship without any repair or replacement arctic disk and would like to return my jacket.Canada Goose you’re have LOST a valuable customer. The luxury brand that you cannot TRUST !!!!DISAPPOINTED CUSTOMER Your case number is 00859751Robert  UK","February 03, 2025"
"RICKY ROMERO","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Worst customer service and warranty policies my black jacket turned grey in one wear I called the warranty service and they never mentioned that I was supposed to sign for my repair jacket. But yet they have no problem when you order a new product from them the leave it at the front door. But nooo I have to sign for this damage product it makes no sense. I will never ever order anything from this overpriced company!!!","March 15, 2025"
"Ian Tunstall","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I bought a Canada goose coat from Harrods in the UKI had to have it repaired once as the cuffs were fraying Now the seems on the arms are splitting and now I’ve been told they are doing nothing about itWe have 8 Canada coats and I will never buy another after such poor service Ian Tunstall 00874830Warranty claim","March 12, 2025"
"Rene Gindelberger","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","A fraudulent transaction happened on a debit card held by one of my customers.  She did not place the order and tried to get someone to help her and couldn't.  So as her financial institution, I got on a call with her and spoke to someone named Jamie (sp?) and she advised me to send information to their website to get my customer assistance - this was the email response:  Hello,Thank you for reaching out to us.Please note that this email address and our webform are no longer monitored as we focus on providing real-time support through our Live Chat messaging channel.For immediate assistance, we encourage you to connect with us via Live Chat, where our team of expert stylists are available and ready to provide assistance with your purchase needs, or resolve your inquiries quickly and efficiently.We appreciate your understanding as we enhance our support to serve you better.Warm regards,The Canada Goose Team THIS IS RIDICULOUS!!YET AGAIN - your company wants to take no responsibility for a fraudulent transaction.  We have filed the dispute - but you could resolve this much faster than the review process if you would put forth a little bit of compassion and research.  Almost $1400 of fraud - and your answer is talk to her bank. I work at her bank. we have done our part - do better?!!!","March 07, 2025"
"Daniel Kim","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I've always been a bigger fan of Canada Goose than Moncler and own several of their products. I've shopped both online and in-store and have always had good interactions with their team. However, my most recent online purchase was a nightmare due to their policies and customer service.I ordered two jackets in different sizes, intending to keep the one that fit best. When the package arrived, I took both jackets out, tried them on, and within five minutes, I put the one that didn’t fit back into the box, taped it up, and processed the return.A few weeks later, I noticed my refund hadn’t been posted, which was unusual since Canada Goose had always been quick with refunds in the past. When I reached out to their customer service team, I was shocked to learn that the item was being sent back to me. They refused the refund because they claimed the jacket had a hole in it—and since I had selected ""sizing"" as the reason for my return instead of ""damaged,"" they said I was responsible.First, if I’m spending over $1,000 on an item, the last thing I’m doing is inspecting it for quality control—that's Canada Goose’s job, not mine. Second, why would I intentionally damage a jacket that I planned to return, especially when I was buying two of the same item in different sizes? Lastly, even if I did have bad intentions (which I didn’t), wouldn’t I have claimed the item was ""damaged"" rather than selecting ""sizing"" as the reason for return? The jacket was out of the box for five minutes—there’s no way I caused the damage.I love their products, but they just lost a customer. Their policies make no sense, and their customer service team clearly needs better training. Not every case is the same, and they need to use more common sense when handling returns.Warning: If you're buying online, inspect your product immediately—even if you're just trying it on—because if you return it and they claim it’s damaged, you’ll be stuck footing the bill. It’s like walking into a fitting room, trying something on, and then being charged for damage they can’t prove wasn’t already there.Canada Goose, do better. Your policies make no sense.","February 28, 2025"
"Darlene Pillar","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I just tried a ""trade in "" with a very expensive parka that we purchased for 1500$ ...we just retired to the okanagan and thought well we won't need this parka anymore...my husband  wore it on his way to work but only ended up wearing it 4 times in northern Canada where there is no sun in the winterOn their website they ask a few questions before you send it to them and because it looked so perfect and was only being worn 4 times we thought their on line quote would stand......BUT.....they don't stand by that till they get it    they re- assess....they took another 50% off of their quote.... because of fade spot on the coat...now I know for sure they are lying because there is no sun where he worked and only wore it 4 times ....when I disagreed with their assessment they said there was nothing I could do that that is that according to themI asked for the coat back and they said because of "" their "" process they can't return it....WELL I AM THE CUSTOMER!...NOT YOUbut on several requests they just repeat themselves that there's nothing they can do","March 05, 2025"
"Jo","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Beware to buy off Canada Goose!! I don’t even think Canada Goose are worthy of 1 star. Couldn’t give zero.I purchased a Chelsea Parka which was a bit tight across chest returned it to them on 17th Feb it was sent back to me on 21st Feb no documents in box- phone line not working asked online chat said it didn’t meet the return criteria! Further 2 more weeks of online chat conversations to try to resolve this as the coat was tried on twice!! Emails get undelivered, the correspondence has been horrendous, I finally get a call yesterday to be told this is there final decision the coat shows signs of wear!! I’ve asked for photographic proof to be told I can’t have them- I was then told it showed dirt in the inside of the coat and on the front panel and by the pockets!! I opened the box while on the phone and the coat has no dirt- this is a scam to make money off you. I’ve bought of them over the years but never again- how are they getting away with it!! She was based in the US who phoned and said I could take it to a shop- can’t return to uk shop now they stopped doing that 2 months ago! I don’t know where to go for help as I know I never wore that coat!Please don’t buy off them and have to go through what I have and others I have read.something needs to be done about them. Thanks for your reply, I can assure you I never wore that coat! I just want people to know what you do and I’m not the only one  who has wrote a review saying the same thing. You can’t even send me the proof!!It was a 5 day turn around from receiving it to getting picked up to return - 2 of which was in the sealed box waiting to be collected!  ‘Thanks for your understanding’ I don’t understand as I know it wasn’t worn . Disgusting!!","March 05, 2025"
"Sergio Avanca","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","I ordered an item to withstand the cold weather in Switzerland, but when I received the item it did quite the opposite and I could not wear it for the rest of the trip.","March 03, 2025"
"Mark","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","My Canada Goose vest zipper has failed.Warranty void due to the stye number tag being missing? Every other tag is inside it.This is absolutely unacceptable for such an expensive product.  Perhaps someone at Canada Goose can reply here.  I actually use this vest for serious outdoor activities, and spent the money on it in the hopes it really has a lifetime warranty.  If this silly requirement truly does ""void the warranty,"" I will choose a different Company to purchase the two down parkas I was considering from Canada Goose.UPDATE:Based on the reply from Canada Goose, I have decided to spend $3500.00 on a competitive product.  This silly policy of “needing all tags” is completely unacceptable.  All the tags with exception of one are in the garment.  If this isn’t enough, it shows Canada Goose is likely using this as an excuse for not taking care of warranty claims.Cheesy.","March 03, 2025"
"Anya","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Could you provide a way to contact you???? Chat doesn't work, and online form is a scam, you send an email saying you do not reply to online forms. I need to contact you about a potential product defect. How can a company selling such expensive items NOT HAVE A WAY OF CONTACTING THEM??","March 03, 2025"
"L Wil","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","There’s a reason there are so many 1 star reviews!Incredibly poor quality with a horrible warranty service. You are buying over priced crap that will start to fall apart then they won’t fix it.Buyer be ware! Read the reviews!","January 30, 2025"
"Lily","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Horrible customer service and definitely not worth the price! I bought my mom a jacket as a present. Sadly, it didn’t fit her so I wanted to exchange it to get her a bigger size. I later found out Canada goose doesnt do exchanges; so in order to get a bigger size you have to return it, get the money back, and buy the right size (so I returned it). They DECLINED my return because it showed signs of “wear” but when I received photos as evidence, they don’t clearly show anything. It was never worn because it didn't fit! I was never notified that my return was being sent back to me until I reached out 3 weeks later when I didn’t see the money come back. The jacket could’ve easily been stolen sitting out for three weeks in the mail room. A $1500 jacket mind you. Opening the box they have left me with no original box, no hanger, jacket cover and certification of authenticity so I can’t even sell it…They dont care about you, they care about the money! Especially given the size and reputation of the company, I was expecting better. Never doing business with them again. Edit : So I guess “trying on the jacket I paid for” was too much for Canada Goose. Literally, jacket didnt fit so how could she have worn it? The jacket never left the house. They sent back the jacket in a clear bag with no original anything and also NEVER TOLD ME they were sending it back? Three weeks of no response. They clearly do not care about their customers. I will still fight for the Original Box, Hanger, Jacket Cover and print of authentication.Reading more reviews and it looks like im not the only one with a similar problem.","February 25, 2025"
"Daniel Esteban","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Worst company ever, gave them my money 10 days ago they know I didn’t received my package and still told me I need to wait another 10 days for a resolution. Honestly Do Not Buy from them.","February 20, 2025"
"DD","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","My patience has really been tested with Canada Goose Generations. I sent in my parka a month ago and I am still waiting on the gift card. In the mean time, the coat I want is sold out and I have been dealing with extreme cold temps in Chicago and wanting to get my jacket but of course, I want to use the gift card that I don't have. I emailed Generations last week and 4 days later was told they are having an issue where they cannot process gift cards and no idea when the problem will be fixed.","February 17, 2025"
"James","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Do not buy online from CG! Bought a Hybridge Vest - package arrived but inner box was cut and vest had been stolen. Sent multiple pictures but Canada Goose says unless item is returned they will not give a refund. Multiple calls to unhelpful people and no resolution, they just say take it up with your credit card company.Update - CG saw this review and replied, but with the same answer that is incredibly frustrating - ""no refund unless the item is returned"". How can I return the item if I never received it - it was stolen before the package arrived.","February 05, 2025"
"SL","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","This company is an absolute joke. The worst customer service to ever exist. Such bad practice. Just take a look at their responses to the reviews on this site. Just a ‘not bothered’ attitude overall. Both in store and online","February 17, 2025"
"Mouni Guerlain","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I recently bought Canada Goose expedition shipping from the official Canada Goose website for over 1800 US dollars, it arrived with perfume on it and some stains on the fabric which means it was worn by someone else I hadn't returned it because I'm always busy my concern was that I had worn it and I was felling cold that mean the quality is not the same at all , it's not worth the cost at all.  Order number CGUS_A02758562 ah yes for next day  shipping I pay like 38 us dollars that was scam they shipped regular i bought on 11 November and was delivered on 19 November they call it next day shipping, ridiculous","November 11, 2024"
"Holly","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Would give 0 stars if possibleExpensive coat purchased and the quality was so bad after little wear. Faded, holes and discoloured seams. Sent off for warranty repair and they returned it with bad quality repairs and WITHOUT the fur. They lost this but covered it up by saying that it never arrived with the coat. So insinuating that I was lieing. Rude and unprofessional customer service. Will be taking this further*Your reply is insulting, I packaged the coat with the fur, you lost it and lied","November 14, 2024"
"tracey","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I purchased the Sherborn Parker. This was unfortunately too small I returned the coat for a refund  within  their stated 30 day return period My return was rejected and the coat returned to me Canada goose quality control said there was a snag on the coat and signs of significant wear, not sure how as coat unworn  . The coat had only been tried on once prior to putting this back in the box to return . I requested pictures of the so called damage and wear . On the first photo it looked like a crease in the seam not a snag ? . The 2 other photos showed what looked like lint ?? I have spent hours on the webchat trying to sort this with no success. My emails are no longer being answered and I keep getting automated replies sign posting me to the webchat however no one is willing to discuss this any further with myself . I am down £1325 for a coat that is too small i have been asked by trust pilot to provide more information. on this review but where ? in summary update what information is required i bought a coat tried it on and returned the item as it was too small and the return was rejected as the quality team said the coat showed signs of wear ? i have read many reviews regards canada goose products that have been returned and rejected for similar reasonsi wrote an honest review of my unsatisfactory experience with this company who took no steps to hear my views regards tracey","January 10, 2025"
"KIKC","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","Fantastic service from the Birmingham, UK , branch , exchanged a jacket with no issues at all, even went away and steamed the jacket, excellent customer service . :-)","February 07, 2025"
"Sabir Barre","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Had a jacket for a few years amazing quality however the down started to disappear. Requested a repair and was pleased it was accepted and sent of my jacket after a few weeks got a notification it was complete. I was so excited. Then DHL said they delivered the parcel I was confused then they provided a picture of someone else with my parcel! Outrageous!!!   This was not my flat and it was not me upon complaining they came to the conclusion it was beyond retrievable. I was then told to contact the sender to arrange a ‘refund or reorder’. Canada goose have now stopped replying to me and I called them now and they are saying they need to speak to dhl. It seems as they are blaming eachother. I am so disappointed I used to be so proud to own and wear a Canada goose. I feel robbed.","December 12, 2024"
"HH","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Ordered a parka from their official website in the EU region 31.1.2025, got confirmation emails, and also confirmed with the customer service 4 days later (4.2.), that my order is still valid, as it was not shipping. My order was cancelled day after the customer service confirmed it. Canada Goose claims first it was error in stock, after telling them my country's consumer policy do not allow companies just cancel orders due to their incorrect stock balances, Canada Goose now says it's their new policy to not be able to deliver the order to certain regions, which again is not affecting to this order due the consumer policy requiring shops to be visible and open about their agreements and conditions, as I was able to make order normally, got confirmations several times and whatever the policy was, it was not visible to the customer at the time the order was placed.  I have requested them to arrange a parka and shipping (and other stuff you got from ordering directly from canada goose) from their physical official EU stores (those stores have some stock), but they refuse, have asked them to provide me a private link to pay (when to order was cancelled, I was refunded), have asked them if they cover all extra costs if I have to route the item from another place, they refuse.Please resolve this to the customer's advantage, as this was huge error on Canada Goose's end, and does not follow consumer policies and good practicesThere is a case about this, and I have chatted with the EU chat about this but they do not help. Edit 15.2.2025 // Customer service says their decision is final that nothing could not be done (absolutely can be done), customer service will not provide any explanation why they are going against the consumer policies, just keeps saying that the decision is final.","February 05, 2025"
"NikA","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","1 Star - Terrible Quality and ServiceI am extremely disappointed with my $1000 Canada Goose jacket. After only two wears, the down started coming out like tissues from a box—and it never stopped. I sent it in for warranty repair, hoping for a solution, but they kept my jacket for six weeks during the middle of winter in Chicago, only to return it with no changes at all.This was a complete waste of $1000. I eventually had to buy a new jacket, which I actually enjoy—and it cost me a third of the price! Save your money and avoid the hype; the quality and service from Canada Goose are unacceptable.","January 20, 2025"
"Angela","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I bought a coat through Canada Goose Generation on 12/31/24.  Received it but it did’t fit.  I turned around and sent it to them to buy it at price of $500.00 when I paid $800.00.  They just sent me an email that the coat did not meet their standard but it was bought on their website.  It’s a SCAM and will file a complain with the BBB and any other website.","December 31, 2024"
"Clay","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Button popped immediately off the Carlyle pant","January 31, 2024"
"Anna Rivers","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I bought a jacket on the website and paid for next day delivery. The next day I received a hat with an invoice inside with a different name and address. The orders had obviously gotten mixed up at some point. I called customer services and spoke to an incredibly rude person who told me she was going to open a case. I then heard nothing, no email, no call. I called back again and had the same experience - and repeat. Finally on about my 6th call someone sent me an email asking for the proof that I had a hat and not a jacket. I did this immediately and got no response. So I called again. A long story of multiple calls and two weeks later. The hat is returned and I get zero comms from Canada Goose. When I call (we're on about call 20 by now) I get told that the case is still being investigated and they can't give me any updates. Meanwhile I have no coat and I am out £1300. I have never experienced such a poor level of customer service. DO NOT buy from Canada Goose. If they make a mistake YOU will pay for it. I am increasingly scared I will never get my money back.","January 24, 2025"
"jo jo","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","My coat was torn and looking a bit tired, I sent it off for repairs knowing I would have to pay and was very happy with the price, £60 and it was all done within 2 weeks, very happy customer and now I can enjoy my coat again","January 03, 2025"
"Terry Brown","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","We have just had the pleasure of being served by Grace in the Edinburgh store. Super friendly and a credit to the Canada Goose brand.","January 23, 2025"
"Anthony H","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","I’ve got several Canada Goose jackets which I purchased based on the rating for -5 and up to -20…. I recently wore these in Japan both of them with underlayers and I still felt cold in maximum -5°, And even in 3° in Osaka very disappointed by them. I will be trying Mackage and Fjallraven Stood they are half the price","January 03, 2025"
"Jan Fairweather","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-3.svg","I recently purchased a Canada Goose Shelburne parka coat, expecting it to provide the warmth and comfort that the brand is known for. According to the instructions, the coat can withstand temperatures as low as -10 degrees Celsius. However, I have been feeling cold while wearing this coat, especially around my back and arms, even when the temperature here in New Jersey is 30 degrees. I have had to wear an extra layer under the coat to alleviate the cold.Given the high price of $1500, I expected the coat to perform better, especially when compared to less expensive coats that provide more warmth. It seems like the company prioritizes profit over customer satisfaction, which is disappointing. I had high expectations for this brand, and I believe it should live up to its promises.","January 20, 2025"
"Rita Santos","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I genuinely cannot express how utterly disappointed I am with Canada Goose and their customer service. I sent back a nearly new hat due to a defect in the stitching – a thread had come undone, which began to form a hole. However, after a week of waiting for an evaluation, their team concluded that it was ""accidental damage"" and refused to repair or replace it.The baffling part is that no one from Canada Goose took the time to properly assess the issue or even ask for more details. The hat is essentially brand new, used only a couple of times, and there's no sign of wear or tear—just a single thread that came undone. There were no broken threads, no marks, or any other form of damage to indicate it was mishandled. Yet, their response was to blame it on “accidental damage” without any explanation or transparency in how this was determined.I’ve since discovered that many others have had similar experiences, which just reinforces my belief that Canada Goose is more focused on its image and profits than actually providing a decent level of customer service or standing behind its supposed ""lifetime guarantee."" Now, I’m left with a faulty hat that’s heading for the bin, and it’s clear that they’ve lost yet another customer in the process.In contrast, other brands like Arc'teryx, Patagonia, North Face, and Moncler consistently prioritise their customers, offering great service and even supporting sustainability initiatives. Patagonia, in particular, even goes so far as to repair older products to reduce waste. This is the kind of ethos I want to support moving forward, and it’s a stark reminder of what Canada Goose is clearly lacking.It’s safe to say I won’t be trusting or supporting Canada Goose again, and I’d encourage others to look for brands that genuinely value their customers and uphold their promises.","January 20, 2025"
"Kirsty Collins","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","My coat had a problem with the seams after 2 years on the arms so Sent my coat in for warranty repair , after reading reviews about warranty repairs I was a little anxious  but within 3 days of me sending it I had emails to update me on receiving the coat then same day inspection and  outcome and said it was going for repair , a few days later and it was done and sent back to me .  I received it today and wow it was all nicely well packaged and all repaired like new even put me new cuffs on and sent me a bag to keep it looking new , Thankyou Canada goose","January 20, 2025"
"Susan Lord","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","$1,000 for a Parka, with the sales pitch of a Lifetime Warranty.Now, the Canada Goose company, forces ‘you to ‘pay to courier your coat to the company, if you have a Warranty Claim!As well, they force you to clean it for over $100.00, whether it’s clean or not!!!They cite health mandates🙄Even if you had it cleaned last winter, you must still have the receipt…or get this, they will charge you for them to clean it, once you pay to mail it to them🥴There is no one to discuss your issue with, ahead of your incurring these expenses…and over cleaning can cause undue breakdown of the materials.The coat prematurely faded substantially, in it’s second winter, of simply wearing it to walk from my parking spot, to the company door! The coat barely even ‘saw the sunlight!!!Yes it was warm; the only salvation.The Canada Goose company couldn’t give any indication whatsoever; of what they could do (if anything) for me!!!!I was supposed to just do without it at the beginning of the impending winter, pay to return, pay to clean… on a song and a prayer they would even do anything for me!Then this year I looked down at my cuffs and was horrified to see they were becoming unraveled…like wtaf😳I didn’t even want to wear it!I created an account (which you are forced to do), and sent them pictures.They have a clause called “normal wear and tear” that may exclude them taking any responsibility, they tell me!!!!!!I ask again, can I at least bring it to your store, or can I drive it to the place I would have to pay to courier it?No.Wow, so I elected to pay my trusted seamstress to put two new cuffs on it for $45.00; hence, only being without the coat for two days. As well, I didn’t have to search for a box and pay for shipping, nor pay for a cleaning it didn’t even require🤬Of note:I have a 25 year old Zellers coat with the same type of cuffs, which has been worn a lot more than my Canada Goose Parka; and it’s cuffs remain immaculate to this day.Anyone contemplating purchasing a Canada Goose product, needs to know their warranty is literally a complete sham.🤥","November 30, 2024"
"Hannes","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","I bought a jacket a few years ago and was very happy with it until I wore a dark cashmere sweater underneath it for the first time and looked like a plucked chicken. I then sent the jacket in the following summer, but according to the customer service department, no excessive loss of downs could be detected and the jacket was sent back to me. Now I tried it again and sent in the jacket via the store so that the employee on site could see the loss of down. He agreed to my opinion and sent in the jacket, but Canada Goose again refused to see the loss of down. A further complaint and an escalation to Quality Assurance in Canada did nothing and the jacket was sent back to me. The staff at the Munich store then stood up for me, but again no result, although they tried every possible way.I would really like to upload a photo but that's not possible so I put the photo in mit profile picture, small but maybe you will be able to see for yourself the excessive loss of down when you zoom in (as you can see, taken by an employee in the Canada Goose store in Munich).Last answer to the employees in the Munich store was, that this kind of down seepage is not excessive after some years. They must have forgotten about the requests the years before and they must have a totally different understanding of a non excessive down seepage as the Munich store employees and me, I guess. 2 things annoy me the most. On the one hand, the poor quality of the jacket at this price and on the other hand, that the promise of a lifetime guarantee is not kept.","January 20, 2025"
